,model,weight_g,weight_oz,OS,internal_memory,audio_jack,GPS,battery_mah,display_resolution_inches,screen_to_body_ratio_%,length_mm,width_mm,thickness_mm,GPU_new,brand_idx,GPS_new,primary_cam_MP,secondary_cam_MP,gprs,edge,sim,ppi,memory_card,battery_removable,indian_price,ram
2870,S60,128.0,4.52,1,8.0,1,1,2150.0,5.0,66.8,143.3,72.0,7.7,1,34,1,13.0,5.0,1.0,1.0,2,210,128,0,20731.2,8
2871,A6000 Plus,128.0,4.52,1,16.0,1,1,2300.0,5.0,69.8,141.0,70.0,8.2,1,34,1,8.0,2.0,1.0,1.0,2,225,128,1,8144.400000000001,4
2872,A1900,117.0,4.13,1,4.0,1,1,1500.0,4.0,60.7,121.0,62.0,9.5,3,34,1,2.0,0.0,1.0,1.0,2,210,128,1,4442.400000000001,8
2873,K3 Note,150.0,5.29,1,16.0,1,1,3000.0,5.5,71.7,152.6,76.2,8.0,3,34,1,13.0,5.0,1.0,1.0,2,390,128,1,11106.000000000002,4
2874,Vibe Shot,145.0,5.11,1,32.0,1,1,3000.0,5.0,69.3,142.0,70.0,7.3,1,34,1,16.0,8.0,1.0,1.0,2,390,128,0,22212.000000000004,8
2875,A7000 Plus,140.0,4.94,1,16.0,1,1,2900.0,5.5,71.7,152.6,76.2,8.0,3,34,1,13.0,5.0,1.0,1.0,2,225,128,1,14067.6,6
2876,A7000,140.0,4.94,1,8.0,1,1,2900.0,5.5,71.7,152.6,76.2,8.0,3,34,1,8.0,5.0,1.0,1.0,2,410,128,1,11106.000000000002,6
2877,A5000,160.0,5.64,1,8.0,1,1,4000.0,5.0,68.9,140.0,71.4,10.0,3,34,1,8.0,2.0,1.0,1.0,2,210,128,0,11106.000000000002,4
2878,Tab 2 A10-70,509.0,1.12,1,16.0,1,0,7000.0,10.1,73.9,247.0,171.0,8.9,0,34,0,8.0,5.0,1.0,1.0,1,225,128,0,13327.2,8
2879,Tab 2 A8-50,360.0,12.7,1,8.0,1,0,4290.0,8.0,74.6,210.0,125.0,8.9,0,34,0,5.0,2.0,1.0,1.0,2,390,128,0,8884.800000000001,4
2880,P70,149.0,5.26,1,16.0,1,1,4000.0,5.0,67.6,142.0,71.8,8.9,3,34,1,13.0,5.0,1.0,1.0,2,410,128,0,17769.600000000002,6
2881,Tab 2 A7-30,269.0,9.49,1,16.0,1,1,3450.0,7.0,68.8,191.0,105.0,8.9,3,34,1,2.0,0.0,1.0,1.0,1,390,128,0,8144.400000000001,6
2884,A6000,128.0,4.52,1,8.0,1,1,2300.0,5.0,69.8,141.0,70.0,8.2,1,34,1,8.0,2.0,1.0,1.0,2,410,128,1,7404.000000000001,8
